[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	2/3/2026 5:04:49 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 3:43:27 PM	4	3	IC	41.62	10.00	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 3:46:02 PM	4	4	IC	41.40	10.00	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 3:52:39 PM	5	1	IC	160.3	40.00	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 3:55:39 PM	5	2	IC	167.4	40.00	 	1	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 3:58:39 PM	5	3	IC	162.9	40.00	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:01:38 PM	5	4	IC	161.9	40.00	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:08:24 PM	6	1	IC	302.9	80.00	 	1	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:11:29 PM	6	2	IC	315.8	80.00	 	1	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:14:39 PM	6	3	IC	259.5	80.00	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:17:47 PM	6	4	IC	265.0	80.00	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:20:56 PM	6	5	IC	265.4	80.00	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:27:45 PM	7	1	IC	417.8	100.0	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:31:01 PM	7	2	IC	432.6	100.0	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:34:18 PM	7	3	IC	430.5	100.0	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:41:08 PM	8	1	IC	845.0	200.0	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:44:20 PM	8	2	IC	862.2	200.0	 	0	50	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal		1.00		2/2/2026 4:47:31 PM	8	3	IC	850.6	200.0	 	0	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 4:52:35 PM	1	1	IC	3.356	2.711	IC:2.050mg/L	1	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 4:54:51 PM	1	2	IC	0.6212	2.061	IC:2.050mg/L	0	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 4:57:02 PM	1	3	IC	0.5093	2.035	IC:2.050mg/L	0	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 4:59:17 PM	1	4	IC	0.5908	2.054	IC:2.050mg/L	0	50	
Unknown	IC	Chk_Std_10mgL	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:05:49 PM	1	1	IC	37.20	10.75	IC:10.75mg/L	0	50	
Unknown	IC	Chk_Std_10mgL	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:08:48 PM	1	2	IC	37.27	10.76	IC:10.75mg/L	0	50	
Unknown	IC	Chk_Std_10mgL	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:11:48 PM	1	3	IC	31.34	9.356	IC:10.75mg/L	1	50	
Unknown	IC	Chk_Std_10mgL	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:14:47 PM	1	4	IC	37.19	10.74	IC:10.75mg/L	0	50	
Unknown	IC	Chk_Std_crm221-0866	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:20:58 PM	1	1	IC	94.22	24.29	IC:24.23mg/L	0	50	
Unknown	IC	Chk_Std_crm221-0866	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:23:30 PM	1	2	IC	94.03	24.24	IC:24.23mg/L	0	50	
Unknown	IC	Chk_Std_crm221-0866	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:26:03 PM	1	3	IC	93.68	24.16	IC:24.23mg/L	0	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:30:35 PM	1	1	IC	0.5470	2.044	IC:2.033mg/L	0	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:32:46 PM	1	2	IC	0.4336	2.017	IC:2.033mg/L	0	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:34:57 PM	1	3	IC	0.5211	2.038	IC:2.033mg/L	0	50	
Unknown	IC	FATE_Flume_20251204_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:41:12 PM	1	1	IC	78.93	20.66	IC:20.77mg/L	0	50	
Unknown	IC	FATE_Flume_20251204_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:43:48 PM	1	2	IC	79.29	20.74	IC:20.77mg/L	0	50	
