[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	3/19/2026 10:04:58 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:05:34 PM	1	4	TN	1.377	0.04856	NPOC:-0.08941mg/L TN:-0.03686mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:12:32 PM	1	5	TN	0.000	-0.05098	NPOC:-0.08941mg/L TN:-0.03686mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:20:59 PM	1	1	NPOC	9.014	1.911	NPOC:-0.1915mg/L TN:-0.02398mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:24:48 PM	1	2	NPOC	0.9104	-0.2533	NPOC:-0.1915mg/L TN:-0.02398mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:28:37 PM	1	3	NPOC	1.760	-0.02638	NPOC:-0.1915mg/L TN:-0.02398mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:32:26 PM	1	4	NPOC	1.381	-0.1276	NPOC:-0.1915mg/L TN:-0.02398mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:36:15 PM	1	5	NPOC	1.134	-0.1936	NPOC:-0.1915mg/L TN:-0.02398mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:20:59 PM	1	1	TN	0.6133	-0.00665	NPOC:-0.1915mg/L TN:-0.02398mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:24:48 PM	1	2	TN	0.3775	-0.02369	NPOC:-0.1915mg/L TN:-0.02398mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:28:37 PM	1	3	TN	0.4643	-0.01742	NPOC:-0.1915mg/L TN:-0.02398mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:32:26 PM	1	4	TN	0.2787	-0.03084	NPOC:-0.1915mg/L TN:-0.02398mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:46:36 PM	1	1	NPOC	1.248	-0.1631	NPOC:-0.1712mg/L TN:-0.03715mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:50:25 PM	1	2	NPOC	1.276	-0.1556	NPOC:-0.1712mg/L TN:-0.03715mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 4:54:26 PM	1	3	NPOC	1.129	-0.1949	NPOC:-0.1712mg/L TN:-0.03715mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:46:36 PM	1	1	TN	2.584	0.1358	NPOC:-0.1712mg/L TN:-0.03715mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:50:25 PM	1	2	TN	0.1815	-0.03786	NPOC:-0.1712mg/L TN:-0.03715mg/L	0	50	
