"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2024-01-01 07:00:00","LI-200R",,,,0.155,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 07:15:00","LI-200R",,,,0.94,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 07:15:00","LI-200R",,,,0.94,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 07:30:00","LI-200R",,,,3.031,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 07:30:00","LI-200R",,,,3.031,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 07:45:00","LI-200R",,,,7.704,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 07:45:00","LI-200R",,,,7.704,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 08:00:00","LI-200R",,,,20.56,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 08:00:00","LI-200R",,,,20.56,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 08:15:00","LI-200R",,,,35.68,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 08:15:00","LI-200R",,,,35.68,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 08:30:00","LI-200R",,,,45.97,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 08:30:00","LI-200R",,,,45.97,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 08:45:00","LI-200R",,,,61.88,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 08:45:00","LI-200R",,,,61.88,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 09:00:00","LI-200R",,,,73.13,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 09:00:00","LI-200R",,,,73.13,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 09:15:00","LI-200R",,,,63.79,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 09:15:00","LI-200R",,,,63.79,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 09:30:00","LI-200R",,,,64.6,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 09:30:00","LI-200R",,,,64.6,"wx-slr-fd15","23839d1e",,0,
"GCW","W","2024-01-01 09:45:00","LI-200R",,,,64.36,"wx-slr-fd15","67ab29eb",,0,
"GCW","W","2024-01-01 09:45:00","LI-200R",,,,64.36,"wx-slr-fd15","23839d1e",,0,
