"Site","TIMESTAMP","DO_mgL","FDOM_RFU","Chlorophyll_ugL","Conductivity","DO_saturation","Salinity_PPT","TDS_mgL","pH","Temp_C","Depth_m"
"FLUME",2025-12-19 19:00:00,9.74,9.13,7.69,14.935,84.93,14.25,15460.28,7.45,5.516,1.142
"FLUME",2025-12-19 19:06:00,9.75,9.14,7.87,14.925,84.95,14.26,15470.2,7.44,5.476,1.128
"FLUME",2025-12-19 19:12:00,9.66,9.56,7.75,14.845,84.08,14.19,15403.94,7.43,5.445,1.105
"FLUME",2025-12-19 19:18:00,9.51,10.05,7.42,14.776,82.65,14.13,15355.25,7.41,5.393,1.085
"FLUME",2025-12-19 19:24:00,9.45,10.32,8.24,14.692,81.95,14.09,15310.2,7.38,5.3,1.062
"FLUME",2025-12-19 19:30:00,9.33,10.65,8.35,14.586,80.73,14,15222.55,7.37,5.252,1.044
"FLUME",2025-12-19 19:36:00,9.25,10.9,8.8,14.433,79.73,13.88,15112.74,7.36,5.15,1.03
"FLUME",2025-12-19 19:42:00,9.23,10.51,9.95,14.296,79.26,13.79,15022.89,7.34,5.016,1.009
"FLUME",2025-12-19 19:48:00,9.05,11.27,8.93,14.329,77.81,13.82,15046.88,7.34,5.048,0.99
"FLUME",2025-12-19 19:54:00,9.01,10.67,8.87,14.107,77.09,13.65,14854.46,7.33,4.863,0.979
"FLUME",2025-12-19 20:00:00,8.9,11.1,8.62,13.863,75.91,13.42,14668.21,7.32,4.818,0.98
"FLUME",2025-12-19 20:06:00,8.84,11.37,9.29,13.855,75.33,13.43,14675.01,7.31,4.777,0.976
"FLUME",2025-12-19 20:12:00,8.8,11.44,7.86,13.625,74.61,13.25,14494.38,7.31,4.625,0.985
"FLUME",2025-12-19 20:18:00,8.68,11.79,7.23,13.537,73.44,13.18,14426.12,7.3,4.563,0.971
"FLUME",2025-12-19 20:24:00,8.69,11.76,7.99,13.495,73.45,13.15,14396.25,7.29,4.522,0.976
"FLUME",2025-12-19 20:30:00,8.56,11.99,7.46,13.377,72.18,13.05,14311.27,7.27,4.466,0.961
"FLUME",2025-12-19 20:36:00,8.59,12.18,7.67,13.377,72.38,13.05,14308.05,7.26,4.458,0.967
"FLUME",2025-12-19 20:42:00,8.61,12.51,6.8,13.277,72.35,12.99,14245.31,7.25,4.363,0.972
"FLUME",2025-12-19 20:48:00,8.61,12.79,7,13.256,72.25,12.98,14226,7.24,4.322,0.967
"FLUME",2025-12-19 20:54:00,8.49,12.64,6.47,13.121,70.98,12.88,14142.64,7.24,4.214,0.954
"FLUME",2025-12-19 21:00:00,8.56,12.96,6.95,13.106,71.58,12.87,14126.09,7.23,4.19,0.934
"FLUME",2025-12-19 21:06:00,8.31,12.79,7.61,12.825,69.15,12.61,13880.72,7.22,4.101,0.908
"FLUME",2025-12-19 21:12:00,8.36,12.75,7.62,12.759,69.48,12.55,13821.13,7.21,4.063,0.905
"FLUME",2025-12-19 21:18:00,8.29,13.32,6.77,12.729,68.81,12.54,13806.31,7.21,4.021,0.898
"FLUME",2025-12-19 21:24:00,8.27,13.23,7.88,12.698,68.57,12.52,13794.04,7.22,3.974,0.9
"FLUME",2025-12-19 21:30:00,8.18,13.08,6.36,12.63,67.65,12.48,13757.46,7.21,3.885,0.894
"FLUME",2025-12-19 21:36:00,8.24,13.19,5.88,12.699,68.26,12.54,13817.26,7.2,3.922,0.886
"FLUME",2025-12-19 21:42:00,8.15,13.23,5.93,12.59,67.36,12.46,13737.2,7.2,3.837,0.889
"FLUME",2025-12-19 21:48:00,8.08,13.85,5.99,12.533,66.66,12.41,13690.84,7.19,3.804,0.893
"FLUME",2025-12-19 21:54:00,8.04,13.76,5.32,12.504,66.3,12.39,13672.04,7.18,3.764,0.903
"FLUME",2025-12-19 22:00:00,8.1,13.87,5.41,12.407,66.67,12.31,13593.22,7.17,3.707,0.916
"FLUME",2025-12-19 22:06:00,8.03,13.93,5.07,12.573,66.08,12.5,13792.49,7.15,3.672,0.915
"FLUME",2025-12-19 22:12:00,7.97,14.23,4.95,12.447,65.45,12.39,13675.58,7.16,3.619,0.923
"FLUME",2025-12-19 22:18:00,7.97,14.51,4.98,12.318,65.35,12.26,13550.52,7.15,3.582,0.919
"FLUME",2025-12-19 22:24:00,8.1,14.76,4.56,12.313,66.31,12.28,13569.32,7.15,3.525,0.916
"FLUME",2025-12-19 22:30:00,8.07,14.72,4.13,12.304,66.07,12.27,13555.44,7.15,3.538,0.906
"FLUME",2025-12-19 22:36:00,8.09,15.07,4.49,12.26,66.08,12.24,13535.98,7.14,3.47,0.894
"FLUME",2025-12-19 22:42:00,8.03,14.96,4.53,12.172,65.48,12.17,13461.69,7.14,3.416,0.889
"FLUME",2025-12-19 22:48:00,8.06,15,4.38,12.16,65.72,12.17,13459.67,7.14,3.392,0.874
"FLUME",2025-12-19 22:54:00,8.01,14.94,3.86,12.091,65.18,12.11,13403.01,7.11,3.345,0.871
"FLUME",2025-12-19 23:00:00,7.94,14.96,3.59,12.066,64.56,12.09,13389.36,7.1,3.314,0.871
"FLUME",2025-12-19 23:06:00,8.04,14.76,4.35,12.044,65.29,12.08,13373.67,7.11,3.292,0.869
"FLUME",2025-12-19 23:12:00,7.88,15.15,3.94,11.949,63.88,11.99,13290.23,7.12,3.24,0.868
"FLUME",2025-12-19 23:18:00,8.01,14.93,3.9,11.941,64.95,11.99,13288.25,7.09,3.224,0.863
"FLUME",2025-12-19 23:24:00,7.89,15.31,3.85,11.896,63.91,11.96,13258.58,7.11,3.18,0.858
"FLUME",2025-12-19 23:30:00,7.86,15.41,2.89,11.85,63.52,11.93,13226.31,7.13,3.134,0.866
"FLUME",2025-12-19 23:36:00,7.75,15.18,3.64,11.79,62.56,11.88,13183.2,7.13,3.079,0.863
"FLUME",2025-12-19 23:42:00,7.96,15.83,3.79,11.692,64.07,11.8,13101.54,7.12,3.018,0.857
"FLUME",2025-12-19 23:48:00,7.77,15.45,4.53,11.675,62.48,11.79,13096.56,7.13,2.979,0.853
"FLUME",2025-12-19 23:54:00,7.72,15.53,4.55,11.628,62.07,11.75,13060.96,7.15,2.947,0.844
"FLUME",2025-12-20 00:00:00,7.87,14.66,4.04,11.551,63.12,11.68,12984.24,7.15,2.916,0.836
"FLUME",2025-12-20 00:06:00,7.85,14.99,4.4,11.524,62.96,11.66,12966.78,7.15,2.89,0.823
"FLUME",2025-12-20 00:12:00,7.64,15.22,3.77,11.454,61.17,11.6,12906.97,7.15,2.847,0.817
"FLUME",2025-12-20 00:18:00,7.8,14.07,4.31,11.342,62.39,11.48,12800.21,7.09,2.827,0.806
"FLUME",2025-12-20 00:24:00,7.76,14.62,5.05,11.402,62.02,11.56,12874.45,7.14,2.786,0.792
"FLUME",2025-12-20 00:30:00,7.71,14.32,6.38,11.365,61.55,11.53,12842.5,7.18,2.757,0.791
"FLUME",2025-12-20 00:36:00,7.72,14.75,4.38,11.334,61.58,11.51,12814.92,7.16,2.743,0.813
"FLUME",2025-12-20 00:42:00,7.74,15.87,3.7,11.306,61.75,11.48,12790.31,7.17,2.725,0.839
"FLUME",2025-12-20 00:48:00,7.66,16.05,3.1,11.2,60.93,11.38,12690.18,7.15,2.678,0.845
"FLUME",2025-12-20 00:54:00,7.77,15.87,3.76,11.185,61.83,11.36,12673.02,7.14,2.683,0.849
"FLUME",2025-12-20 01:00:00,7.62,16.45,3.32,11.155,60.62,11.33,12638.95,7.12,2.685,0.86
"FLUME",2025-12-20 01:06:00,7.66,16.89,2.76,11.113,60.83,11.3,12613.87,7.11,2.631,0.866
"FLUME",2025-12-20 01:12:00,7.62,16.96,3.58,11.09,60.46,11.29,12596.8,7.12,2.606,0.879
"FLUME",2025-12-20 01:18:00,7.61,17.21,3.14,11.051,60.36,11.25,12567.69,7.11,2.577,0.881
"FLUME",2025-12-20 01:24:00,7.63,17.19,3,11.016,60.45,11.23,12540.86,7.06,2.539,0.861
"FLUME",2025-12-20 01:30:00,7.61,17.23,2.9,10.953,60.17,11.18,12493.25,7.07,2.476,0.855
"FLUME",2025-12-20 01:36:00,7.71,17.17,2.68,10.894,60.94,11.12,12428.68,7.1,2.473,0.848
"FLUME",2025-12-20 01:42:00,7.63,17.53,2.7,10.856,60.25,11.09,12402.17,7.11,2.433,0.84
"FLUME",2025-12-20 01:48:00,7.61,16.07,2.74,10.823,60.04,11.05,12366.56,7.1,2.431,0.822
"FLUME",2025-12-20 01:54:00,7.67,17.69,3.06,10.667,60.38,10.89,12197.34,7.09,2.408,0.8
"FLUME",2025-12-20 02:00:00,7.65,17.07,2.66,10.747,60.23,10.98,12295.63,7.09,2.389,0.787
"FLUME",2025-12-20 02:06:00,7.64,16.86,3.63,10.719,60.15,10.96,12278.15,7.11,2.358,0.791
"FLUME",2025-12-20 02:12:00,7.59,16.64,4.98,10.694,59.68,10.94,12253.98,7.12,2.349,0.802
"FLUME",2025-12-20 02:18:00,7.58,16.87,2.74,10.667,59.58,10.91,12225.73,7.12,2.334,0.808
"FLUME",2025-12-20 02:24:00,7.41,17.43,2.91,10.631,58.25,10.88,12192.81,7.11,2.318,0.809
"FLUME",2025-12-20 02:30:00,7.57,17.68,3.09,10.587,59.46,10.84,12148.82,7.11,2.3,0.815
"FLUME",2025-12-20 02:36:00,7.54,18.01,3.25,10.558,59.16,10.82,12132.31,7.12,2.255,0.844
"FLUME",2025-12-20 02:42:00,7.54,18.19,2.09,10.542,59.08,10.81,12116.63,7.12,2.253,0.867
"FLUME",2025-12-20 02:48:00,7.55,18.14,2.23,10.518,59.2,10.78,12093.8,7.11,2.244,0.88
"FLUME",2025-12-20 02:54:00,7.56,18.25,2.14,10.497,59.14,10.78,12093.1,7.1,2.183,0.884
"FLUME",2025-12-20 03:00:00,7.57,18.44,2.53,10.464,59.16,10.75,12064.65,7.09,2.16,0.887
"FLUME",2025-12-20 03:06:00,7.41,18.57,2.12,10.424,57.81,10.72,12039.38,7.09,2.109,0.882
"FLUME",2025-12-20 03:12:00,7.45,18.43,2.83,10.377,58.11,10.68,11997.19,7.05,2.084,0.866
"FLUME",2025-12-20 03:18:00,7.55,18.83,2.21,10.329,58.83,10.64,11955.55,6.95,2.047,0.851
"FLUME",2025-12-20 03:24:00,7.32,18.38,2.25,10.286,56.95,10.6,11914.3,7.04,2.024,0.83
"FLUME",2025-12-20 03:30:00,7.29,18.37,2.42,10.243,56.7,10.56,11874.62,7.08,1.999,0.817
"FLUME",2025-12-20 03:36:00,7.13,17.95,2.99,10.18,55.41,10.49,11806.8,7.12,2.009,0.809
"FLUME",2025-12-20 03:42:00,7.19,18.47,2.46,10.213,55.87,10.52,11835.76,7.12,2.011,0.812
"FLUME",2025-12-20 03:48:00,7.17,18.23,2.23,10.182,55.68,10.5,11810.07,7.14,1.983,0.806
"FLUME",2025-12-20 03:54:00,7.39,18.23,2.73,10.185,57.39,10.5,11816.97,7.11,1.973,0.799
"FLUME",2025-12-20 04:00:00,7.34,18.29,2.42,10.151,56.96,10.48,11790.87,7.1,1.94,0.791
"FLUME",2025-12-20 04:06:00,7.11,18.66,2.68,10.117,55.15,10.44,11761.93,7.1,1.925,0.785
"FLUME",2025-12-20 04:12:00,7.48,18.62,2.44,10.084,57.93,10.42,11736.03,7.12,1.886,0.785
"FLUME",2025-12-20 04:18:00,7.35,17.23,2.51,10.057,56.87,10.4,11714.56,7.12,1.861,0.79
"FLUME",2025-12-20 04:24:00,7.26,16.08,3.3,9.866,56.05,10.2,11513.36,7.13,1.832,0.792
"FLUME",2025-12-20 04:30:00,7.37,17.09,3.38,9.784,56.82,10.12,11474.16,7.05,1.793,0.796
"FLUME",2025-12-20 04:36:00,7.25,18.04,1.96,9.955,55.93,10.31,11627.49,7.13,1.783,0.796
"FLUME",2025-12-20 04:42:00,7.35,17.7,2.41,9.954,56.72,10.31,11631.69,7.12,1.769,0.797
"FLUME",2025-12-20 04:48:00,7.33,18.37,2.21,9.922,56.54,10.28,11598.89,7.14,1.756,0.8
"FLUME",2025-12-20 04:54:00,7.35,18.5,3.66,9.901,56.65,10.26,11580.25,7.14,1.74,0.795
"FLUME",2025-12-20 05:00:00,7.25,18.6,2.43,9.851,55.76,10.22,11535.68,7.11,1.706,0.786
"FLUME",2025-12-20 05:06:00,7.33,19.17,2.41,9.845,56.37,10.22,11535.51,7.1,1.688,0.771
"FLUME",2025-12-20 05:12:00,7.26,18.53,2.28,9.828,55.83,10.2,11521.18,7.05,1.673,0.759
"FLUME",2025-12-20 05:18:00,7.21,18.69,2.86,9.782,55.39,10.16,11473.03,7.11,1.638,0.758
"FLUME",2025-12-20 05:24:00,7.26,18.39,2.96,9.815,55.68,10.22,11540.73,7.1,1.584,0.751
"FLUME",2025-12-20 05:30:00,7.34,17.98,2.98,9.729,56.19,10.14,11457.25,7.11,1.545,0.742
"FLUME",2025-12-20 05:36:00,7.19,18.58,4.49,9.68,55.04,10.08,11392.36,7.13,1.554,0.738
"FLUME",2025-12-20 05:42:00,7.05,19.03,2.05,9.628,53.93,10.02,11315.92,7.11,1.552,0.735
"FLUME",2025-12-20 05:48:00,7.17,18.1,2.9,9.741,54.94,10.15,11470.16,7.1,1.547,0.739
"FLUME",2025-12-20 05:54:00,7.23,18.71,2.48,9.741,55.36,10.15,11471.36,7.11,1.541,0.748
"FLUME",2025-12-20 06:00:00,7.24,18.87,2.77,9.673,55.42,10.08,11396.97,7.11,1.527,0.754
"FLUME",2025-12-20 06:06:00,7.2,19.2,2.56,9.675,55.08,10.09,11406.77,7.04,1.509,0.748
"FLUME",2025-12-20 06:12:00,7.06,19.03,2.65,9.678,54.03,10.08,11406.1,7.11,1.524,0.742
"FLUME",2025-12-20 06:18:00,7.14,19.23,2.68,9.558,54.53,9.96,11267.24,7.06,1.505,0.743
"FLUME",2025-12-20 06:24:00,7.18,19.48,2.43,9.466,54.83,9.86,11166.5,7.03,1.491,0.743
"FLUME",2025-12-20 06:30:00,7.18,19.43,2.15,9.514,54.79,9.92,11231.38,7.03,1.471,0.738
"FLUME",2025-12-20 06:36:00,7.16,19.9,3.01,9.539,54.62,9.95,11265.53,6.97,1.458,0.74
"FLUME",2025-12-20 06:42:00,7.13,19.61,2.3,9.515,54.39,9.93,11242.64,7,1.449,0.739
"FLUME",2025-12-20 06:48:00,7.02,19.58,2.42,9.549,53.56,9.97,11284.37,7.09,1.443,0.739
"FLUME",2025-12-20 06:54:00,6.95,18.93,2.35,9.534,52.98,9.95,11272.9,6.99,1.427,0.739
"FLUME",2025-12-20 07:00:00,7.09,19.82,2.87,9.566,54.04,9.99,11314.67,7.06,1.422,0.741
"FLUME",2025-12-20 07:06:00,7.13,19.57,2.22,9.545,54.35,9.97,11297.07,7.09,1.401,0.741
"FLUME",2025-12-20 07:12:00,7.11,18.51,2.29,9.523,54.15,9.96,11280.7,7.09,1.377,0.741
"FLUME",2025-12-20 07:18:00,7.09,19.71,4.15,9.498,53.96,9.93,11255.72,7.09,1.362,0.742
"FLUME",2025-12-20 07:24:00,7.03,18.9,2.32,9.486,53.5,9.93,11249.13,7.09,1.347,0.742
"FLUME",2025-12-20 07:30:00,7.09,18.74,2.14,9.475,53.95,9.91,11233.76,6.98,1.344,0.744
"FLUME",2025-12-20 07:36:00,6.89,20.09,2.42,9.454,52.38,9.89,11217.39,7.09,1.329,0.745
"FLUME",2025-12-20 07:42:00,6.98,20.18,4.02,9.426,53.02,9.87,11188.45,7.09,1.317,0.747
"FLUME",2025-12-20 07:48:00,6.96,20.05,1.74,9.421,52.84,9.86,11177.53,7.08,1.321,0.745
"FLUME",2025-12-20 07:54:00,6.96,19.74,1.95,9.401,52.89,9.84,11154.66,7.08,1.325,0.746
"FLUME",2025-12-20 08:00:00,6.91,20.38,4.86,9.382,52.44,9.82,11135.8,7.07,1.314,0.745
"FLUME",2025-12-20 08:06:00,6.92,20.24,2.21,9.368,52.57,9.8,11121.28,7.08,1.311,0.744
"FLUME",2025-12-20 08:12:00,6.84,20.07,2.24,9.358,51.94,9.79,11105.14,7.07,1.314,0.746
"FLUME",2025-12-20 08:18:00,6.84,20.41,1.59,9.336,51.94,9.77,11090.58,7.09,1.297,0.747
"FLUME",2025-12-20 08:24:00,6.96,20.6,1.46,9.102,52.76,9.51,10805.51,7.05,1.307,0.747
"FLUME",2025-12-20 08:30:00,6.95,20.69,1.28,9.095,52.64,9.49,10795.68,7.02,1.317,0.748
"FLUME",2025-12-20 08:36:00,6.91,20.65,1.56,9.219,52.44,9.63,10936.46,7.04,1.334,0.747
"FLUME",2025-12-20 08:42:00,7.05,20.65,1.6,9.235,53.48,9.65,10955.73,6.94,1.331,0.747
"FLUME",2025-12-20 08:48:00,6.84,20.44,1.21,9.071,51.82,9.46,10754.54,7.05,1.352,0.748
"FLUME",2025-12-20 08:54:00,6.94,20.76,1.51,9.314,52.72,9.73,11031.88,7.07,1.36,0.751
"FLUME",2025-12-20 09:00:00,6.8,21.12,1.39,9.282,51.68,9.69,10998.2,7.07,1.372,0.752
"FLUME",2025-12-20 09:06:00,6.36,19.71,1.4,9.274,48.3,9.68,10983.52,7.07,1.381,0.752
"FLUME",2025-12-20 09:12:00,6.92,20.26,1.59,9.163,52.53,9.55,10843.66,7.07,1.4,0.752
"FLUME",2025-12-20 09:18:00,6.97,20.6,1.67,9.046,52.92,9.41,10735.3,7.04,1.417,0.75
"FLUME",2025-12-20 09:24:00,6.77,20.7,1.57,9.112,51.43,9.48,10771.15,6.88,1.434,0.753
"FLUME",2025-12-20 09:30:00,6.79,20.84,1.48,9.018,51.58,9.37,10654.54,7.01,1.454,0.754
"FLUME",2025-12-20 09:36:00,6.88,20.84,1.41,8.979,52.26,9.32,10597.96,7.01,1.475,0.754
"FLUME",2025-12-20 09:42:00,6.82,20.78,1.48,9.041,51.92,9.38,10665.72,7,1.5,0.754
"FLUME",2025-12-20 09:48:00,6.52,21.05,1.06,8.976,49.62,9.3,10575.85,6.99,1.527,0.753
"FLUME",2025-12-20 09:54:00,6.77,21.2,1.43,8.962,51.53,9.28,10561.54,6.99,1.552,0.756
"FLUME",2025-12-20 10:00:00,6.67,21.04,1.45,8.859,50.79,9.15,10415.36,6.98,1.588,0.756
"FLUME",2025-12-20 10:06:00,6.36,21.03,1.29,8.978,48.52,9.27,10542.39,6.95,1.624,0.755
"FLUME",2025-12-20 10:12:00,6.73,21.13,1.01,9.273,51.49,9.59,10875.54,6.98,1.667,0.755
"FLUME",2025-12-20 10:18:00,6.92,19.98,1.37,9.195,52.95,9.49,10767.43,7,1.71,0.755
"FLUME",2025-12-20 10:24:00,6.68,21.02,0.81,9.234,51.21,9.52,10797.06,6.99,1.75,0.754
"FLUME",2025-12-20 10:30:00,6.81,21.24,1.07,9.24,52.3,9.51,10787.06,7,1.791,0.753
"FLUME",2025-12-20 10:36:00,6.93,21.16,1.3,9.235,53.25,9.5,10768.86,6.99,1.827,0.753
"FLUME",2025-12-20 10:42:00,6.62,21.22,1.06,9.107,50.86,9.34,10608.46,6.99,1.862,0.748
"FLUME",2025-12-20 10:48:00,6.13,21.18,1.01,9.239,47.14,9.48,10747.9,7,1.902,0.748
"FLUME",2025-12-20 10:54:00,6.35,21.18,1.17,9.249,48.93,9.48,10744.58,6.99,1.943,0.746
"FLUME",2025-12-20 11:00:00,6.07,20.45,0.96,9.252,46.78,9.47,10731.22,6.99,1.987,0.745
"FLUME",2025-12-20 11:06:00,6.23,21.06,0.85,9.264,48.11,9.47,10729.08,6.96,2.031,0.744
"FLUME",2025-12-20 11:12:00,6.48,20.97,1.33,9.276,50.06,9.47,10726.66,6.98,2.074,0.743
"FLUME",2025-12-20 11:18:00,6.31,20.54,1.23,9.281,48.86,9.46,10717.94,6.99,2.112,0.74
"FLUME",2025-12-20 11:24:00,6.68,20.71,1.27,9.286,51.72,9.46,10710.78,6.99,2.151,0.739
"FLUME",2025-12-20 11:30:00,6.65,21.17,0.93,9.291,51.53,9.45,10701.96,6.99,2.188,0.738
"FLUME",2025-12-20 11:36:00,6.36,20.95,1.24,9.293,49.35,9.44,10686.67,6.97,2.239,0.735
"FLUME",2025-12-20 11:42:00,6.63,21.37,1.04,9.304,51.53,9.43,10673.79,6.98,2.31,0.734
"FLUME",2025-12-20 11:48:00,5.94,20.67,0.96,9.31,46.23,9.42,10660.77,6.96,2.362,0.732
"FLUME",2025-12-20 11:54:00,6.31,21.05,0.92,9.315,49.17,9.41,10653.4,6.98,2.406,0.731
"FLUME",2025-12-20 12:00:00,6.35,21.75,0.93,9.321,49.62,9.4,10638.37,6.98,2.463,0.729
"FLUME",2025-12-20 12:06:00,6.43,21.02,1.04,9.333,50.25,9.4,10635.18,6.99,2.503,0.727
"FLUME",2025-12-20 12:12:00,6.35,21.52,0.93,9.327,49.71,9.38,10613.33,6.94,2.555,0.725
"FLUME",2025-12-20 12:18:00,6.49,20.74,0.99,9.351,50.88,9.39,10621.79,6.97,2.604,0.723
"FLUME",2025-12-20 12:24:00,6.28,20.82,1.03,9.355,49.27,9.38,10609.2,6.98,2.643,0.723
"FLUME",2025-12-20 12:30:00,6.39,21.32,1.09,9.355,50.2,9.37,10602.26,6.97,2.674,0.725
"FLUME",2025-12-20 12:36:00,6.26,19.05,1.19,9.375,49.18,9.39,10620.81,6.98,2.686,0.725
"FLUME",2025-12-20 12:42:00,5.72,21.28,1.1,9.214,44.87,9.21,10432.71,6.98,2.704,0.727
"FLUME",2025-12-20 12:48:00,6.28,21.31,0.9,9.13,49.26,9.13,10338.38,6.98,2.696,0.73
"FLUME",2025-12-20 12:54:00,6.32,21.29,0.68,9.191,49.59,9.18,10412.13,6.97,2.73,0.736
"FLUME",2025-12-20 13:00:00,6.23,21.4,1.61,9.16,48.91,9.14,10348.86,6.97,2.764,0.741
"FLUME",2025-12-20 13:06:00,6.44,20.54,0.91,9.117,50.67,9.08,10280.33,6.96,2.813,0.747
"FLUME",2025-12-20 13:12:00,6.37,22.07,0.85,9.14,50.16,9.08,10287.51,6.96,2.885,0.751
"FLUME",2025-12-20 13:18:00,6.06,21.34,0.92,9.223,47.8,9.16,10362.91,6.97,2.932,0.754
"FLUME",2025-12-20 13:24:00,6.33,21.13,1.05,9.137,49.99,9.06,10254.95,6.96,2.962,0.762
"FLUME",2025-12-20 13:30:00,6.31,21.57,0.84,9.081,49.85,8.99,10182.68,6.96,2.994,0.776
"FLUME",2025-12-20 13:36:00,6.24,21.01,0.9,9.229,49.32,9.14,10341.07,6.96,3.016,0.791
"FLUME",2025-12-20 13:42:00,6.28,21.55,1.12,9.234,49.71,9.14,10335.73,6.95,3.051,0.795
"FLUME",2025-12-20 13:48:00,6.01,18.99,0.79,9.242,47.61,9.14,10335.42,6.95,3.076,0.802
"FLUME",2025-12-20 13:54:00,5.61,21.2,1.41,9.25,44.45,9.15,10343.71,6.94,3.077,0.814
"FLUME",2025-12-20 14:00:00,5.26,21.05,1.07,9.299,41.56,9.23,10445.85,6.95,2.973,0.831
"FLUME",2025-12-20 14:06:00,2.22,23.05,1.81,10.629,17.77,10.63,11884.86,6.94,3.07,0.843
"FLUME",2025-12-20 14:12:00,0.4,22.59,2.01,11.552,3.26,11.56,12838.93,6.94,3.248,0.851
"FLUME",2025-12-20 14:18:00,5.35,15.13,1.55,12.963,45.77,12.32,13532.82,7.13,5.232,0.861
"FLUME",2025-12-20 14:24:00,6.69,9.69,3.01,13.765,58.52,12.86,14052.93,7.21,5.993,0.874
"FLUME",2025-12-20 14:30:00,6.72,9.7,3.25,13.921,58.91,12.99,14184.4,7.2,6.061,0.882
"FLUME",2025-12-20 14:36:00,7.56,9.03,2.04,14.361,66.84,13.34,14517.83,7.3,6.314,0.882
"FLUME",2025-12-20 14:42:00,7.87,8.31,3.05,14.59,69.82,13.53,14705.08,7.35,6.414,0.886
"FLUME",2025-12-20 14:48:00,7.76,7.96,3.47,14.702,68.95,13.63,14805.11,7.35,6.439,0.891
"FLUME",2025-12-20 14:54:00,8.15,7.41,3.89,14.899,72.68,13.8,14968.22,7.41,6.523,0.898
"FLUME",2025-12-20 15:00:00,8.25,7.45,2.76,15.007,73.64,13.9,15070.86,7.43,6.532,0.908
"FLUME",2025-12-20 15:06:00,8.42,7.42,3.6,15.022,75.17,13.92,15089.56,7.44,6.526,0.917
"FLUME",2025-12-20 15:12:00,8.53,7.13,4.11,15.114,76.22,14,15146.6,7.46,6.541,0.923
"FLUME",2025-12-20 15:18:00,8.69,6.77,4.5,15.036,77.57,13.92,15091.88,7.51,6.552,0.924
"FLUME",2025-12-20 15:24:00,8.96,6.36,4.22,15.031,79.92,13.93,15100.12,7.58,6.52,0.932
"FLUME",2025-12-20 15:30:00,9.35,6.08,4.55,14.995,83.32,13.91,15087.35,7.63,6.471,0.946
"FLUME",2025-12-20 15:36:00,9.71,6.32,4.53,15.045,86.44,13.98,15164.2,7.71,6.434,0.96
"FLUME",2025-12-20 15:42:00,10.06,5.65,4.67,14.852,89.36,13.81,14988.19,7.81,6.365,0.969
"FLUME",2025-12-20 15:48:00,10.25,5.47,5.36,14.964,91.02,13.94,15094.56,7.84,6.326,0.973
"FLUME",2025-12-20 15:54:00,10.3,5.6,4.47,14.928,91.31,13.93,15110.12,7.91,6.266,0.989
"FLUME",2025-12-20 16:00:00,10.5,5.55,6.57,14.915,93,13.93,15114.24,7.91,6.226,0.997
"FLUME",2025-12-20 16:06:00,10.38,5.52,5.36,14.955,91.9,13.99,15177.62,7.96,6.197,1.007
"FLUME",2025-12-20 16:12:00,10.51,5.42,6.43,15.556,93.45,14.6,15777.94,7.92,6.197,1.012
"FLUME",2025-12-20 16:18:00,10.42,5.63,5.87,15.415,92.53,14.45,15626.29,7.88,6.206,1.013
"FLUME",2025-12-20 16:24:00,10.33,5.33,7.09,15.706,91.88,14.76,15939.75,7.84,6.178,1.018
"FLUME",2025-12-20 16:30:00,10.45,5.26,7.29,15.666,92.86,14.73,15915.66,7.88,6.139,1.026
"FLUME",2025-12-20 16:36:00,10.34,5.26,6.16,15.624,91.83,14.7,15880.66,7.87,6.124,1.025
"FLUME",2025-12-20 16:42:00,10.32,5.22,6.26,15.656,91.54,14.75,15937.85,7.91,6.077,1.025
"FLUME",2025-12-20 16:48:00,10.63,5.45,7.15,15.687,94.22,14.8,15989.83,7.98,6.031,1.021
"FLUME",2025-12-20 16:54:00,10.29,5.39,6.27,15.672,91.24,14.77,15962.73,7.94,6.058,1.021
"FLUME",2025-12-20 17:00:00,10.12,5.3,7.69,15.716,89.75,14.84,16028.98,7.98,6.007,1.029
"FLUME",2025-12-20 17:06:00,10.49,5.34,8.17,15.648,92.87,14.78,15974.66,7.99,5.99,1.036
"FLUME",2025-12-20 17:12:00,10.63,5.34,8.11,15.707,94.14,14.85,16023.41,8.01,5.971,1.04
"FLUME",2025-12-20 17:18:00,10.68,5.36,7.98,15.796,94.62,14.95,16136.12,7.98,5.946,1.045
"FLUME",2025-12-20 17:24:00,10.54,5.4,8.28,15.864,93.38,15.03,16225.98,8,5.918,1.051
"FLUME",2025-12-20 17:30:00,10.49,5.44,6.52,15.861,92.8,15.04,16236.79,7.99,5.888,1.054
"FLUME",2025-12-20 17:36:00,10.62,5.37,6.57,15.853,93.82,15.06,16258.66,8.01,5.827,1.06
"FLUME",2025-12-20 17:42:00,10.7,5.73,10.85,15.847,94.47,15.08,16280.71,8.02,5.766,1.062
"FLUME",2025-12-20 17:48:00,10.57,5.34,6.59,15.834,93.17,15.1,16298.34,8.02,5.705,1.066
"FLUME",2025-12-20 17:54:00,10.58,5.22,9.46,15.772,93.06,15.06,16283.05,8.03,5.639,1.077
"FLUME",2025-12-20 18:00:00,10.34,5.12,8.93,15.806,90.92,15.12,16321.93,8.03,5.601,1.079
"FLUME",2025-12-20 18:06:00,10.66,5.16,9.66,15.782,93.53,15.13,16342.32,8.04,5.509,1.079
