"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","H2S_QAQC_flag","Dilution","H2S_cv_flag","H2S_Conc_flag","Sample_ID","Project","Date","Site","Time","Analysis_rundate"
"1","154",0,0,0,0.071,-1.59383947884022,"",1,"Within range","bdl","FATE_20250403_FLUME_1443","FATE","20250403","FLUME","1443","20250926"
"2","160",0,0,0,0.0705,-1.64961578313234,"",1,"Within range","bdl","FATE_20250627_FLUME_1210","FATE","20250627","FLUME","1210","20250926"
"3","145",0,0,0,0.066,-2.15160252176142,"",1,"Within range","bdl","FATE_20250529_DOCK_1553","FATE","20250529","DOCK","1553","20250926"
"4","153",0,0,0,0.068,-1.92849730459294,"",1,"Within range","bdl","FATE_20250403_DOCK_1300","FATE","20250403","DOCK","1300","20250926"
"5","143",0,0,0,0.072,-1.48228687025598,"",1,"Within range","bdl","FATE_20250509_DOCK_1449","FATE","20250509","DOCK","1449","20250926"
"6","144",0,0,0,0.08,-0.589866001582073,"",1,"Within range","bdl","FATE_20250912_FLUME_1356","FATE","20250912","FLUME","1356","20250926"
"7","146",0,0,0,0.069,-1.8169446960087,"",1,"Within range","bdl","FATE_20250912_DOCK_1536","FATE","20250912","DOCK","1536","20250926"
"8","147",0,0,0,0.0666666666666667,-2.07723411603859,"",1,"Within range","bdl","FATE_20250424_FLUME_1446","FATE","20250424","FLUME","1446","20250926"
"9","148",0,0,0,0.07,-1.70539208742446,"",1,"Within range","bdl","FATE_20250724_DOCK_1312","FATE","20250724","DOCK","1312","20250926"
"10","149",0,0,0,0.065,-2.26315513034566,"",1,"Within range","bdl","FATE_20250627_DOCK_1519","FATE","20250627","DOCK","1519","20250926"
"11","150",0,0,0,0.067,-2.04004991317718,"",1,"Within range","bdl","FATE_20250414_FLUME_1440","FATE","20250414","FLUME","1440","20250926"
"12","151",0,0,0,0.0726666666666667,-1.40791846453316,"",1,"Within range","bdl","FATE_20250813_DOCK_1218","FATE","20250813","DOCK","1218","20250926"
"13","152",0,0,0,0.0663333333333333,-2.1144183189,"",1,"Within range","bdl","FATE_20250414_DOCK_1335","FATE","20250414","DOCK","1335","20250926"
"14","155",0,0,0,0.071,-1.59383947884022,"",1,"Within range","bdl","FATE_20250612_FLUME_1054","FATE","20250612","FLUME","1054","20250926"
"15","156",0,0,0,0.0693333333333333,-1.77976049314729,"",1,"Within range","bdl","FATE_20250605_FLUME_1115","FATE","20250605","FLUME","1115","20250926"
"16","157",0,0,0,0.0716666666666667,-1.5194710731174,"",1,"Within range","bdl","FATE_20250327_DOCK_1605","FATE","20250327","DOCK","1605","20250926"
"17","158",0,0,0,0.0733333333333333,-1.33355005881033,"",1,"Within range","bdl","FATE_20250829_FLUME_1354","FATE","20250829","FLUME","1354","20250926"
"18","159",0,0,0,0.0746666666666667,-1.18481324736468,"",1,"Within range","bdl","FATE_20250605_DOCK_1259","FATE","20250605","DOCK","1259","20250926"
"19","161",0,0,0,0.0676666666666667,-1.96568150745435,"",1,"Within range","bdl","FATE_20250905_FLUME_1139","FATE","20250905","FLUME","1139","20250926"
