"TOA5","MGEO_SERC","CR1000X","50443","CR1000X.8.2.1","CPU:MGEO_SERCv30INT.CR1X","63132","ExoTable"
"TIMESTAMP","RECORD","Date","Time","Chlorophyll_RFU","Chlorophyll_ugL","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_mScm","BGA_PE_RFU","BGA_PE_ugL","TDS_mg_L","Turbidity_FNU","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn"
"TS","RN","mmddyy","hhmmss","RFU","ug/L","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","mS/cm","RFU","ug/L","mg/L","FNU","mv","pH","mv","Celsius","meters","volts","volts","ma","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-02-28 00:00:00",11121,22726,235621,2.26,11.1,14.254,16.05,5.18,23.06,117.48,117.48,13.54,-6.5,13.56,22.717,6.99,22.79,14766.05,5.55,1.16,7.78,-96.94,5.493,1.154,5.87,13.23,46.59,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 00:06:00",11122,22826,221,2.85,14.03,14.252,15.95,5.15,23.04,117.56,117.56,13.54,-6.5,13.54,22.697,7.73,24.94,14753.3,5.27,1.17,7.78,-96.96,5.52,1.154,5.86,13.25,46.02,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 00:12:00",11123,22826,821,2.7,13.26,14.246,16.07,5.19,23.05,117.45,117.45,13.53,-6.5,13.54,22.703,6.96,22.7,14756.95,5.49,1.15,7.78,-96.87,5.499,1.153,5.87,13.25,46.9,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 00:18:00",11124,22826,1421,2.57,12.63,14.241,16.18,5.23,23.05,117.38,117.38,13.53,-1.61,13.54,22.702,7.33,23.77,14756.28,5.37,1.15,7.78,-96.81,5.488,1.152,5.86,13.22,46.34,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 00:24:00",11125,22826,1721,2.43,11.94,14.245,16.19,5.23,23.05,117.4,117.4,13.53,1.66,13.54,22.702,10.39,32.6,14756.47,5.33,1.35,7.78,-96.78,5.496,1.151,5.86,13.22,45.59,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 00:30:00",11126,22826,2621,2.72,13.36,14.238,16.31,5.27,23.04,117.34,117.34,13.52,-6.5,13.54,22.698,7.69,24.82,14753.46,5.29,1.16,7.78,-96.8,5.488,1.152,5.86,13.22,46.24,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 00:36:00",11127,22826,3221,3.38,16.63,14.244,16.06,5.19,23.05,117.32,117.32,13.52,-6.5,13.55,22.703,6.3,20.8,14756.8,5.41,1.16,7.78,-96.82,5.492,1.153,5.86,13.25,45.49,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 00:42:00",11128,22826,3821,2.63,12.92,14.242,16.16,5.22,23.04,117.39,117.39,13.53,-6.5,13.54,22.696,8.43,26.94,14752.55,5.24,1.16,7.79,-97.19,5.498,1.153,5.86,13.26,46.36,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 00:48:00",11129,22826,4421,2.62,12.91,14.242,16.23,5.24,23.05,117.31,117.31,13.52,-6.5,13.55,22.708,8.46,27.02,14760.06,5.37,1.17,7.79,-97.13,5.479,1.153,5.87,13.28,46.44,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 00:54:00",11130,22826,4721,2.2,10.82,14.243,16.12,5.21,23.05,117.32,117.32,13.52,1.66,13.55,22.704,8.38,26.79,14757.79,5.5,1.37,7.78,-96.74,5.488,1.152,5.86,13.26,46.21,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
