"TOA5","MGEO_SERC","CR1000X","50443","CR1000X.8.2.1","CPU:MGEO_SERCv30INT.CR1X","11106","LevelTable"
"TIMESTAMP","RECORD","Level_m_CBS","Pressure_mbar_CBS","Temperature_CBS","Status_CBS"
"TS","RN","m","mbar","Celsius","na"
"","","Smp","Smp","Smp","Smp"
"2025-11-30 00:00:00",19544,0,0,12.8,1
"2025-11-30 00:06:00",19545,0,0,12.8,1
"2025-11-30 00:12:00",19546,0,0,12.8,1
"2025-11-30 00:18:00",19547,0,0,12.7,1
"2025-11-30 00:24:00",19548,0,0,12.7,1
"2025-11-30 00:30:00",19549,0,0,12.7,1
"2025-11-30 00:36:00",19550,0,0,12.7,1
"2025-11-30 00:42:00",19551,0,0,12.7,1
"2025-11-30 00:48:00",19552,0,0,12.7,1
"2025-11-30 00:54:00",19553,0,0,12.7,1
