"TOA5","MGEO_SERC","CR1000X","50443","CR1000X.8.2.1","CPU:MGEO_SERCv30INT.CR1X","63132","ExoTable"
"TIMESTAMP","RECORD","Date","Time","Chlorophyll_RFU","Chlorophyll_ugL","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_mScm","BGA_PE_RFU","BGA_PE_ugL","TDS_mg_L","Turbidity_FNU","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn"
"TS","RN","mmddyy","hhmmss","RFU","ug/L","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","mS/cm","RFU","ug/L","mg/L","FNU","mv","pH","mv","Celsius","meters","volts","volts","ma","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-02-28 01:00:00",11131,22826,5621,2.39,11.74,14.247,16.14,5.21,23.05,117.43,117.43,13.53,-6.5,13.55,22.702,7.09,23.08,14756.44,5.45,1.15,7.79,-97.19,5.499,1.152,5.86,13.22,46.14,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 01:06:00",11132,22826,10221,2.59,12.75,14.24,16.15,5.22,23.04,117.28,117.28,13.52,-6.5,13.54,22.695,6.94,22.64,14751.79,5.49,1.15,7.78,-96.72,5.496,1.153,5.86,13.21,47.1,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 01:12:00",11133,22826,10821,2.52,12.41,14.235,16.28,5.26,23.03,117.29,117.29,13.52,-6.5,13.53,22.684,7.29,23.65,14744.49,5.33,1.16,7.79,-97.02,5.498,1.154,5.86,13.25,45.66,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 01:18:00",11134,22826,11421,2.12,10.43,14.237,16.2,5.23,23.01,117.3,117.3,13.51,-6.5,13.52,22.663,7.57,24.45,14730.77,5.13,1.16,7.78,-96.68,5.534,1.154,5.86,13.2,46.45,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 01:24:00",11135,22826,11721,2.53,12.47,14.237,16.34,5.28,23.01,117.32,117.32,13.51,1.66,13.52,22.659,7.09,23.07,14728.07,5.32,1.39,7.78,-96.62,5.54,1.153,5.87,13.27,46.12,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 01:30:00",11136,22826,12621,2.51,12.34,14.232,16.25,5.25,23,117.31,117.31,13.51,-6.5,13.52,22.656,8.46,27.03,14726.66,5.15,1.16,7.79,-97.06,5.533,1.152,5.87,13.28,45.73,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 01:36:00",11137,22826,13221,2.44,11.99,14.24,16.11,5.21,23.02,117.25,117.25,13.5,-6.5,13.53,22.67,5.55,18.65,14735.81,5.25,1.15,7.78,-96.66,5.531,1.152,5.86,13.21,46.74,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 01:42:00",11138,22826,13821,2.86,14.07,14.238,16.08,5.19,23.01,117.12,117.12,13.49,-6.5,13.52,22.665,8.44,26.98,14732.4,5.92,1.16,7.78,-96.93,5.533,1.153,5.86,13.2,46.41,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
