"TOA5","MGEO_SERC","CR1000X","50443","CR1000X.8.2.1","CPU:MGEO_SERCv30INT.CR1X","19832","ExoTable"
"TIMESTAMP","RECORD","Date","Time","Chlorophyll_RFU","Chlorophyll_ugL","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_mScm","BGA_PE_RFU","BGA_PE_ugL","TDS_mg_L","Turbidity_FNU","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn"
"TS","RN","mmddyy","hhmmss","RFU","ug/L","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","mS/cm","RFU","ug/L","mg/L","FNU","mv","pH","mv","Celsius","meters","volts","volts","ma","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-31 01:00:00",4411,13126,5657,2.33,11.44,12.888,15.74,5.08,24.67,106.24,106.24,14.01,-6.58,14.39,24.586,5.72,19.12,15981.2,3.99,1.16,7.73,-93.18,0.09,1.037,5.85,13.27,50.96,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 01:06:00",4412,13126,10257,2.33,11.47,12.889,15.71,5.07,24.67,106.41,106.41,14.04,-6.58,14.39,24.59,5.86,19.54,15983.79,3.86,1.15,7.73,-93.26,0.09,1.037,5.84,13.27,51.1,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 01:12:00",4413,13126,10857,2.35,11.54,12.905,15.75,5.08,24.67,106.29,106.29,14.01,-6.58,14.4,24.59,6.05,20.09,15983.22,3.9,1.15,7.72,-93.14,0.123,1.037,5.84,13.27,51.31,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 01:18:00",4414,13126,11457,2.6,12.77,12.909,15.7,5.07,24.67,106.48,106.48,14.03,-6.58,14.39,24.583,6.22,20.57,15978.88,3.76,1.15,7.72,-93.14,0.139,1.039,5.84,13.27,50.63,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 01:24:00",4415,13126,11757,2.1,10.31,12.926,15.65,5.05,24.67,106.56,106.56,14.02,1.49,14.39,24.577,5.56,18.65,15975.32,3.88,1.16,7.72,-92.81,0.18,1.037,5.84,13.28,51.12,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 01:30:00",4416,13126,12657,2.62,12.9,12.929,15.8,5.1,24.66,106.53,106.53,14.01,-1.74,14.39,24.571,6.63,21.76,15971,3.93,1.16,7.72,-93.03,0.195,1.037,5.84,13.27,51.09,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 01:36:00",4417,13126,13257,2.35,11.57,12.939,15.59,5.03,24.66,106.41,106.41,13.98,-6.58,14.39,24.565,5.89,19.62,15967.33,3.74,1.16,7.72,-92.78,0.221,1.038,5.84,13.27,50.45,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 01:42:00",4418,13126,13857,2.31,11.38,12.936,15.8,5.1,24.65,106.53,106.53,14,-6.58,14.39,24.565,4.88,16.71,15967.57,3.41,1.15,7.72,-92.84,0.218,1.039,5.85,13.3,51.04,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
