"TOA5","MGEO_SERC","CR1000X","50443","CR1000X.8.2.1","CPU:MGEO_SERCv30INT.CR1X","19832","ExoTable"
"TIMESTAMP","RECORD","Date","Time","Chlorophyll_RFU","Chlorophyll_ugL","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_mScm","BGA_PE_RFU","BGA_PE_ugL","TDS_mg_L","Turbidity_FNU","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn"
"TS","RN","mmddyy","hhmmss","RFU","ug/L","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","mS/cm","RFU","ug/L","mg/L","FNU","mv","pH","mv","Celsius","meters","volts","volts","ma","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-31 23:00:00",4631,13126,225655,2.2,10.82,12.864,15.81,5.1,24.73,107.41,107.41,14.22,-6.67,14.43,24.667,5.34,18.04,16033.38,3.9,1.16,7.75,-94.45,-0.052,0.92,5.84,13.27,50.96,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 23:06:00",4632,13126,230255,1.89,9.27,12.861,15.19,4.9,24.74,107.34,107.34,14.21,-1.87,14.43,24.673,5.29,17.89,16037.54,3.48,1.15,7.75,-94.54,-0.063,0.922,5.85,13.27,51.39,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 23:12:00",4633,13126,230855,2.02,9.93,12.85,15.55,5.02,24.75,107.43,107.43,14.24,-6.67,14.43,24.687,5.66,18.95,16046.38,3.76,1.15,7.75,-94.32,-0.1,0.922,5.85,13.27,50.78,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 23:18:00",4634,13126,231455,2.16,10.63,12.854,15.3,4.93,24.74,107.29,107.29,14.22,-1.87,14.43,24.675,4.85,16.63,16038.91,3.96,1.17,7.75,-94.38,-0.084,0.92,5.85,13.27,51.42,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 23:24:00",4635,13126,231755,1.96,9.61,12.845,15.59,5.03,24.75,106.9,106.9,14.17,1.32,14.43,24.681,5.27,17.82,16042.63,3.68,1.16,7.74,-94.01,-0.107,0.918,5.85,13.27,50.94,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 23:30:00",4636,13126,232655,1.73,8.5,12.837,15.33,4.94,24.74,106.82,106.82,14.17,-1.88,14.43,24.68,4.89,16.74,16041.87,3.54,1.16,7.74,-94.13,-0.122,0.916,5.85,13.27,51.51,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 23:36:00",4637,13126,233255,1.67,8.2,12.835,15.36,4.95,24.75,106.44,106.44,14.12,-6.67,14.43,24.684,3.98,14.12,16044.75,3.71,1.16,7.73,-93.54,-0.133,0.913,5.84,13.27,51.51,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 23:42:00",4638,13126,233855,1.99,9.79,12.837,15.6,5.03,24.75,106.47,106.47,14.12,-6.67,14.43,24.683,5.68,19.01,16044.19,3.73,1.15,7.74,-93.94,-0.127,0.913,5.85,13.27,51.15,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 23:48:00",4639,13126,234455,2.03,9.96,12.834,15,4.83,24.75,106.47,106.47,14.13,-6.67,14.43,24.684,5.07,17.24,16044.59,3.83,1.15,7.74,-93.84,-0.135,0.914,5.85,13.28,51.81,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-01-31 23:54:00",4640,13126,234755,1.75,8.58,12.837,15.36,4.95,24.75,106.52,106.52,14.13,1.32,14.43,24.689,4.85,16.62,16047.66,3.79,1.16,7.74,-93.8,-0.132,0.914,5.85,13.27,51.39,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
