"TOA5","MGEO_SERC","CR1000X","50443","CR1000X.8.5.0","CPU:MGEO_SERCv31INT.CR1X","63885","FLUX_7810"
"TIMESTAMP","RECORD","TimeLong7810","LI7810_time","Seconds","Nanoseconds","NDX","Diag","H2O","CO2","CH4","cavity_p","cavity_t","laser_phase_p","laser_t","residual","ringdown","thermal_enc_t","phase_err","laser_t_shift","vin","cavity_p_sp","board_t","case_t","exfit_tau_rd1","peak_ht_1","exfit_tau_rd2","peak_ht_2","tec_sp","phase_ctrl_out","meas_phase","laser_phase_sp","num_peaks_win","post_ringdwn_1_ign_len","ringdwn_1_loc","peak_x0","xderiv_weight","xderiv2_weight","ch4_spec_weight","co2_spec_weight","h2o_spec_weight","start_freq","cavity_htr_w","laser_ref_pwr","offset_weight","slope_weight","evenodd_weight","evenodd_lin_weight","num_skipped_modes","pump_sp","pump_tach_ph"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-03-30 23:59:15",77550,"2026-03-30 23:03:15",1774933395,1.774933E+09,8.381104E+07,4674685,0,281.95,222.8591,19901.46,39.8823,55.0003,48.6194,46.5993,0.00165497,13.0767,54.4998,-52.75,0.159228,24.0836,39.9739,48.3292,14.3901,13.0767,0.997387,12.9974,1.02682,46.637,29466.2,15947.2,16000,5,4860,81842.5,91729,-9.10733E-06,-0.000220677,10.4501,0.64435,0.0287567,-0.000220677,-0.000220677,-0.000220677,6048.29,0.851703,47408,-0.000220677,0,0,0
"2026-03-30 23:59:30",77551,"2026-03-30 23:03:30",1774933410,1.774933E+09,8.307194E+07,4674745,0,282.2117,222.5027,19902.55,39.8827,55.0003,48.6198,46.5993,0.00164124,13.077,54.4998,1.25,0.159228,24.0844,39.9739,48.3272,14.3901,13.077,0.997385,12.9976,1.02678,46.637,29467,16001.2,16000,5,4840,81842,91751.8,-6.99511E-05,-0.000218492,10.4506,0.643314,0.0287834,-0.000218492,-0.000218492,-0.000218492,6048.29,0.851703,47407.8,-0.000218492,0,0,0
"2026-03-30 23:59:45",77552,"2026-03-30 23:03:45",1774933425,1.774933E+09,8.233309E+07,4674805,0,281.1752,222.2543,19904.98,39.8827,55.0003,48.619,46.5991,0.00165237,13.0761,54.4998,-54.5,0.159228,24.0836,39.9739,48.3296,14.3901,13.0761,0.997346,12.9975,1.02684,46.637,29466,15945.5,16000,5,4826.75,81821,91703.8,1.53565E-05,-0.000224259,10.4519,0.642603,0.0286777,-0.000224259,-0.000224259,-0.000224259,6048.29,0.851703,47409,-0.000224259,0,0,0
"2026-03-31 00:00:00",77553,"2026-03-30 23:04:00",1774933440,1.774934E+09,8.158803E+07,4674865,0,283.2421,222.4586,19906.65,39.8827,55.0003,48.6206,46.5991,0.00164706,13.0762,54.4998,-24,0.159228,24.084,39.9739,48.3262,14.3901,13.0762,0.997288,12.9971,1.02678,46.637,29467.5,15976,16000,5,4837,81823,91732,-9.85367E-06,-0.000216511,10.4528,0.643177,0.0288884,-0.000216511,-0.000216511,-0.000216511,6048.29,0.851703,47409.8,-0.000216511,0,0,0
"2026-03-31 00:00:15",77554,"2026-03-30 23:04:15",1774933455,1.774934E+09,8.084297E+07,4674925,0,281.3255,222.9206,19910.56,39.8827,55.0003,48.6198,46.5991,0.00165411,13.0766,54.4998,80,0.159228,24.084,39.9739,48.3292,14.3901,13.0766,0.997355,12.9975,1.02681,46.637,29466.5,16080,16000,5,4837.75,81831.5,91735.8,-1.77824E-05,-0.000226296,10.4548,0.644534,0.028693,-0.000226296,-0.000226296,-0.000226296,6048.29,0.851703,47409.8,-0.000226296,0,0,0
"2026-03-31 00:00:30",77555,"2026-03-30 23:04:30",1774933470,1.774934E+09,8.010602E+07,4674985,0,282.2796,223.2996,19910.53,39.8823,55.0003,48.619,46.5991,0.00164011,13.0767,54.4998,58,0.159228,24.0836,39.9739,48.3292,14.3901,13.0767,0.997318,12.9972,1.02681,46.637,29467,16058,16000,5,4858.25,81815,91715.5,-5.00802E-06,-0.000222158,10.4548,0.645625,0.0287903,-0.000222158,-0.000222158,-0.000222158,6048.29,0.851703,47409.2,-0.000222158,0,0,0
"2026-03-31 00:00:45",77556,"2026-03-30 23:04:45",1774933485,1.774934E+09,7.936096E+07,4675045,0,282.1271,222.7008,19913.99,39.8818,55.0003,48.6186,46.5993,0.0016487,13.0766,54.4998,47.25,0.159228,24.084,39.9739,48.3272,14.3901,13.0766,0.997329,12.9973,1.02682,46.637,29466.2,16047.2,16000,5,4856.75,81829,91719.2,-1.44886E-05,-0.000233862,10.4566,0.643889,0.0287748,-0.000233862,-0.000233862,-0.000233862,6048.29,0.851703,47408.2,-0.000233862,0,0,0
"2026-03-31 00:01:00",77557,"2026-03-30 23:05:00",1774933500,1.774934E+09,7.86159E+07,4675105,0,281.7521,222.0548,19915.37,39.8818,55.0003,48.6194,46.5993,0.00164652,13.0765,54.4998,202.25,0.159228,24.0844,39.9739,48.3238,14.3901,13.0765,0.997381,12.997,1.02681,46.637,29467.2,16202.2,16000,5,4834.5,81818.2,91739,-2.79942E-05,-0.000236431,10.4574,0.642019,0.0287365,-0.000236431,-0.000236431,-0.000236431,6048.29,0.851703,47409.2,-0.000236431,0,0,0
"2026-03-31 00:01:15",77558,"2026-03-30 23:05:15",1774933515,1.774934E+09,7.787204E+07,4675165,0,281.074,222.8255,19917.78,39.8823,55.0003,48.619,46.5993,0.00164862,13.0768,54.4998,-125.5,0.159228,24.0836,39.9739,48.3233,14.3901,13.0768,0.997342,12.9974,1.0268,46.637,29466.2,15874.5,16000,5,4814,81820.8,91712,-6.38868E-05,-0.000221633,10.4586,0.64426,0.0286674,-0.000221633,-0.000221633,-0.000221633,6048.29,0.851703,47408.2,-0.000221633,0,0,0
"2026-03-31 00:01:30",77559,"2026-03-30 23:05:30",1774933530,1.774934E+09,7.713198E+07,4675225,0,282.6087,222.9506,19921.07,39.8823,55.0003,48.6173,46.5993,0.00165233,13.0762,54.4998,109,0.159228,24.0832,39.9739,48.3238,14.3901,13.0762,0.997374,12.997,1.02677,46.637,29465.5,16109,16000,5,4837.25,81825.2,91745.5,-5.01815E-05,-0.000233529,10.4603,0.64461,0.0288238,-0.000233529,-0.000233529,-0.000233529,6048.29,0.851703,47408.2,-0.000233529,0,0,0
