"TOA5","MGEO_SERC","CR1000X","50443","CR1000X.8.2.1","CPU:MGEO_SERCv30INT.CR1X","63132","ExoTable"
"TIMESTAMP","RECORD","Date","Time","Chlorophyll_RFU","Chlorophyll_ugL","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_mScm","BGA_PE_RFU","BGA_PE_ugL","TDS_mg_L","Turbidity_FNU","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn"
"TS","RN","mmddyy","hhmmss","RFU","ug/L","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","mS/cm","RFU","ug/L","mg/L","FNU","mv","pH","mv","Celsius","meters","volts","volts","ma","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-02-28 23:00:00",11351,22826,225620,2.19,10.77,14.613,15.87,5.12,22.92,122.31,122.31,13.73,-6.52,13.49,22.538,6.38,21.04,14649.96,5.09,1.16,7.81,-98.65,6.587,1.12,5.86,13.27,45.71,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 23:06:00",11352,22826,230220,1.75,8.56,14.619,15.61,5.04,22.86,121.99,121.99,13.66,-6.52,13.45,22.483,5.74,19.19,14613.67,4.99,1.16,7.81,-98.49,6.684,1.12,5.86,13.26,46.03,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 23:12:00",11353,22826,230820,1.74,8.54,14.677,15.77,5.09,22.84,121.83,121.83,13.59,-6.53,13.45,22.466,4.85,16.62,14602.88,5,1.16,7.81,-98.57,6.847,1.119,5.86,13.26,45.8,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 23:18:00",11354,22826,231420,1.57,7.7,14.667,15.63,5.04,22.86,121.78,121.78,13.6,-1.64,13.46,22.495,4.93,16.86,14621.77,5.02,1.16,7.8,-97.94,6.794,1.12,5.86,13.2,45.31,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 23:24:00",11355,22826,231720,1.84,9.02,14.679,15.62,5.04,22.84,121.94,121.94,13.6,1.61,13.44,22.463,5.18,17.56,14600.84,4.89,1.46,7.8,-98,6.857,1.119,5.86,13.26,44.17,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 23:30:00",11356,22826,232620,1.91,9.39,14.697,15.66,5.05,22.78,121.39,121.39,13.5,-6.53,13.41,22.404,4.9,16.75,14562.36,5.16,1.16,7.8,-97.76,6.989,1.119,5.86,13.27,43.85,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 23:36:00",11357,22826,233220,2.13,10.47,14.671,15.64,5.05,22.81,121.58,121.58,13.56,-6.53,13.43,22.442,5.8,19.35,14587.34,5.02,1.16,7.8,-98.09,6.873,1.119,5.86,13.26,44.57,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 23:42:00",11358,22826,233820,2,9.84,14.639,15.58,5.03,22.82,121.65,121.65,13.59,-6.53,13.43,22.467,5.47,18.41,14603.34,5.2,1.15,7.81,-98.27,6.771,1.118,5.86,13.2,44.5,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 23:48:00",11359,22826,234420,2.17,10.65,14.64,15.59,5.03,22.87,121.85,121.85,13.64,-6.53,13.46,22.498,5.77,19.26,14623.79,5.12,1.16,7.81,-98.39,6.72,1.118,5.86,13.26,44.83,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
"2026-02-28 23:54:00",11360,22826,234720,1.97,9.65,14.635,15.71,5.07,22.87,121.85,121.85,13.64,1.61,13.46,22.501,5.75,19.22,14625.92,5.17,1.49,7.81,-98.31,6.695,1.118,5.86,13.26,45.59,"  # sn  22J105877  #  ","  # ssn  25A102680 22L102340 14F102116 15K101546 16E100505 22G100128 25F103"
