Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Relative Humidity [%],Radon [Bq/m3],Radon 2-Sigma Uncert. [Bq/m3],Run #,Calculated Radon [Bq/m3],Calculated Radon 2-Sigma Uncert. [Bq/m3],Calculated Thoron [Bq/m3],Calculated Thoron 2-Sigma Uncert. [Bq/m3],Radon In Water [Bq/m3],Radon In Water 2-Sigma Uncert. [Bq/m3]
280,2/16/2024 8:01,24,2,16,8,1,543,4.5,21,63870.19,6795.066,71,N/A,N/A,N/A,N/A,64800,6900
281,2/16/2024 8:06,24,2,16,8,6,552,4.5,21,66157.12,6917.663,71,N/A,N/A,N/A,N/A,67000,7000
282,2/16/2024 8:11,24,2,16,8,11,641,4.5,22,72201.09,7210.735,71,N/A,N/A,N/A,N/A,73400,7300
283,2/16/2024 8:52,24,2,16,8,52,529,4.6,16,42077.94,5574.268,72,N/A,N/A,N/A,N/A,42100,5600
284,2/16/2024 8:57,24,2,16,8,57,529,4.5,17,41981.17,5584.469,72,N/A,N/A,N/A,N/A,42800,5700
285,2/16/2024 9:02,24,2,16,9,2,529,4.5,18,44758.14,5744.437,72,N/A,N/A,N/A,N/A,45500,5800
286,2/16/2024 9:07,24,2,16,9,7,498,4.6,19,40778.23,5493.193,72,N/A,N/A,N/A,N/A,40800,5500
287,2/16/2024 9:27,24,2,16,9,27,683,4.5,15,63053.43,6753.682,73,N/A,N/A,N/A,N/A,64100,6900
288,2/16/2024 9:32,24,2,16,9,32,729,4.5,16,72433.57,7242.555,73,N/A,N/A,N/A,N/A,73200,7300
289,2/16/2024 9:37,24,2,16,9,37,766,4.5,17,73583.29,7312.435,73,N/A,N/A,N/A,N/A,74500,7400
290,2/16/2024 9:42,24,2,16,9,42,763,4.5,17,70134.07,7140.35,73,N/A,N/A,N/A,N/A,70800,7200
291,2/16/2024 9:59,24,2,16,9,59,900,4.5,14,84724.96,7840.82,74,N/A,N/A,N/A,N/A,85000,7900
292,2/16/2024 10:04,24,2,16,10,4,959,4.5,15,91838.57,8164.05,74,N/A,N/A,N/A,N/A,91900,8200
293,2/16/2024 10:09,24,2,16,10,9,963,4.5,16,87686.73,7978.738,74,N/A,N/A,N/A,N/A,88000,8000
294,2/16/2024 10:14,24,2,16,10,14,940,4.5,16,87686.73,7985.95,74,N/A,N/A,N/A,N/A,88000,8000
295,2/16/2024 10:30,24,2,16,10,30,1079,4.4,13,96693.66,8377.843,75,N/A,N/A,N/A,N/A,98400,8500
296,2/16/2024 10:35,24,2,16,10,35,1057,4.4,14,101703.7,8583.251,75,N/A,N/A,N/A,N/A,103300,8700
297,2/16/2024 10:40,24,2,16,10,40,1166,4.4,15,102705.7,8643.882,75,N/A,N/A,N/A,N/A,104300,8800
298,2/16/2024 10:45,24,2,16,10,45,1142,4.4,15,101703.7,8590.01,75,N/A,N/A,N/A,N/A,103400,8700
