[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/2/2026 9:54:07 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:24:06 AM	1	4	IC	2.299	9.999	IC:9.992mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:26:57 AM	1	5	IC	2.192	9.990	IC:9.992mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:31:55 AM	1	1	IC	1.927	9.968	IC:9.973mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:34:30 AM	1	2	IC	2.248	9.995	IC:9.973mg/L	1	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:37:21 AM	1	3	IC	2.089	9.982	IC:9.973mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260203.2026_02_04_11_04_11.cal	1.00		4/30/2026 10:40:00 AM	1	4	IC	1.953	9.970	IC:9.973mg/L	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 10:46:05 AM	1	1	IC	0.4875	0.000	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 10:48:36 AM	1	2	IC	0.4462	0.000	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 10:50:59 AM	1	3	IC	0.3024	0.000	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 10:57:54 AM	2	1	IC	20.52	1.000	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:01:04 AM	2	2	IC	20.13	1.000	 	1	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:04:25 AM	2	3	IC	21.32	1.000	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:07:41 AM	2	4	IC	21.05	1.000	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:14:56 AM	3	1	IC	98.53	5.000	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:18:35 AM	3	2	IC	99.11	5.000	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:22:17 AM	3	3	IC	99.27	5.000	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:29:52 AM	4	1	IC	196.8	10.00	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:33:44 AM	4	2	IC	198.2	10.00	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:37:36 AM	4	3	IC	196.2	10.00	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:45:11 AM	5	1	IC	797.8	40.00	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:49:57 AM	5	2	IC	823.8	40.00	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 11:54:49 AM	5	3	IC	818.8	40.00	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 12:02:26 PM	6	1	IC	1629	80.00	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 12:07:20 PM	6	2	IC	1631	80.00	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 12:12:17 PM	6	3	IC	1643	80.00	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 12:20:06 PM	7	1	IC	2024	100.0	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 12:25:03 PM	7	2	IC	2009	100.0	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 12:30:00 PM	7	3	IC	2012	100.0	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 12:37:47 PM	8	1	IC	4276	200.0	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 12:43:50 PM	8	2	IC	4302	200.0	 	0	150	
Standard	IC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal		1.00		4/30/2026 12:50:01 PM	8	3	IC	4293	200.0	 	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal	1.00		4/30/2026 12:55:45 PM	1	1	IC	6.729	1.516	IC:1.465mg/L	0	150	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260430.2026_04_30_10_40_00.cal	1.00		4/30/2026 12:58:52 PM	1	2	IC	5.483	1.457	IC:1.465mg/L	0	150	
