Project,Site,Sample,Sample_ID,Replicate,Sample_Type,Date_collected,Time_collected_EDT,Time_collected_EST,Date_filtered,Time_filtered_EDT,Time_filtered_EST,DOC,NUTR,SO4_Cl,TA,Notes,Salinity_probe,Temp_probe,pH_probe
SERC Lateral Flux,Flume,Dock_T10,Tidal_Dock_SW_T10,T10,SW,4/29/2026,20:30,19:30,4/30/2026,16:22,15:22,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T11,Tidal_Dock_SW_T11,T11,SW,4/29/2026,21:30,20:30,4/30/2026,16:31,15:31,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T12,Tidal_Dock_SW_T12,T12,SW,4/29/2026,22:30,21:30,4/30/2026,16:40,15:40,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T13,Tidal_Dock_SW_T13,T13,SW,4/29/2026,23:30,22:30,4/30/2026,16:46,15:46,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T14,Tidal_Dock_SW_T14,T14,SW,4/29/2026,0:30,23:30,4/30/2026,16:55,15:55,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T15,Tidal_Dock_SW_T15,T15,SW,4/30/2026,1:30,0:30,4/30/2026,17:02,16:02,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T16,Tidal_Dock_SW_T16,T16,SW,4/30/2026,2:30,1:30,4/30/2026,17:09,16:09,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T17,Tidal_Dock_SW_T17,T17,SW,4/30/2026,3:30,2:30,4/30/2026,17:14,16:14,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T18,Tidal_Dock_SW_T18,T18,SW,4/30/2026,4:30,3:30,4/30/2026,17:10,16:10,x,x,x,x,estimated filter finish time,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T19,Tidal_Dock_SW_T19,T19,SW,4/30/2026,5:30,4:30,4/30/2026,17:06,16:06,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T20,Tidal_Dock_SW_T20,T20,SW,4/30/2026,6:30,5:30,4/30/2026,17:02,16:02,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T21,Tidal_Dock_SW_T21,T21,SW,4/30/2026,7:30,6:30,4/30/2026,16:58,15:58,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T22,Tidal_Dock_SW_T22,T22,SW,4/30/2026,8:30,7:30,4/30/2026,16:55,15:55,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T23,Tidal_Dock_SW_T23,T23,SW,4/30/2026,9:30,8:30,4/30/2026,16:50,15:50,x,x,x,x,,NA,NA,NA
SERC Lateral Flux,Flume,Dock_T24,Tidal_Dock_SW_T24,T24,SW,4/30/2026,10:30,9:30,4/30/2026,16:46,15:46,x,x,x,x,,NA,NA,NA
,,Flume_T1_pair,Tidal_Flume_SW_T1_pair,T1,SW,4/29/2026,11:30,10:30,4/29/2026,11:40,10:40,x,x,x,x,paired isco sample,NA,NA,NA
,,Flume_T2_pair,Tidal_Flume_SW_T2_pair,T2,SW,4/29/2026,12:30,11:30,4/29/2026,13:25,12:25,x,x,x,x,paired isco sample,NA,NA,NA
,,Flume_GW2,Tidal_Flume_GW_2,2,GW,4/29/2026,11:54,10:54,4/29/2026,12:15,11:15,x,x,x,x,marsh porewater well ,8.1,16.2,6.69
,,Flume_GW3,Tidal_Flume_GW_3,3,GW,4/29/2026,12:01,11:01,4/29/2026,12:21,11:21,x,x,x,x,marsh porewater well ,9.4,15.1,6.52
,,Flume_GW4,Tidal_Flume_GW_4,4,GW,4/29/2026,12:08,11:08,4/29/2026,13:25,12:25,x,x,x,x,marsh porewater well ,10.2,NA,6.5
