"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2023-01-01 15:00:00","LI-190R",,,,180.2,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 15:15:00","LI-190R",,,,150,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 15:30:00","LI-190R",,,,125.3,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 15:45:00","LI-190R",,,,89.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 16:00:00","LI-190R",,,,65.79,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 16:15:00","LI-190R",,,,55.41,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 16:30:00","LI-190R",,,,43.38,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 16:45:00","LI-190R",,,,25.38,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 17:00:00","LI-190R",,,,9.77,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 17:15:00","LI-190R",,,,1.74,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 17:30:00","LI-190R",,,,0.62,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 17:45:00","LI-190R",,,,0.205,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 18:00:00","LI-190R",,,,0.346,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 18:15:00","LI-190R",,,,0.342,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 18:30:00","LI-190R",,,,0.372,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 18:45:00","LI-190R",,,,0.406,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 19:00:00","LI-190R",,,,0.406,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 19:15:00","LI-190R",,,,0.415,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 19:30:00","LI-190R",,,,0.381,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 19:45:00","LI-190R",,,,0.419,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 20:00:00","LI-190R",,,,0.389,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 20:15:00","LI-190R",,,,0.393,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 20:30:00","LI-190R",,,,0.355,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 20:45:00","LI-190R",,,,0.321,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 21:00:00","LI-190R",,,,0.329,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 21:15:00","LI-190R",,,,0.385,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 21:30:00","LI-190R",,,,0.274,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 21:45:00","LI-190R",,,,0.355,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 22:00:00","LI-190R",,,,0.385,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 22:15:00","LI-190R",,,,0.368,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 22:30:00","LI-190R",,,,0.368,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 22:45:00","LI-190R",,,,0.346,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 23:00:00","LI-190R",,,,0.218,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 23:15:00","LI-190R",,,,0.188,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-01 23:30:00","LI-190R",,,,0.171,"wx-par-den15","0fc57275",,0,
